start_station,start_lat,start_lon,day,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count,start_count
3000,0,0,Tuesday,3,0,2,8,6,8,0,1,28
3005,34.0485,-118.258537,Tuesday,9,9,53,112,113,145,176,91,708
3006,34.04554,-118.256668,Tuesday,17,4,18,46,71,61,85,43,345
3007,34.05048,-118.254593,Tuesday,0,5,3,44,63,87,67,13,282
3008,34.046612,-118.262733,Tuesday,5,0,3,24,32,39,64,21,188
3010,34.037048,-118.254868,Tuesday,0,0,1,6,8,18,4,1,38
3011,34.04113,-118.267982,Tuesday,4,0,5,5,17,40,36,9,116
3013,33.779819,-118.263023,Tuesday,0,1,0,1,0,2,0,0,4
3014,34.05661,-118.237213,Tuesday,10,22,452,66,25,22,39,12,648
3016,34.052898,-118.241562,Tuesday,0,1,16,24,35,97,12,2,187
3018,34.043732,-118.260139,Tuesday,4,3,24,39,25,23,36,11,165
3019,34.038609,-118.260857,Tuesday,1,0,40,28,27,71,27,14,208
3020,34.031052,-118.26709,Tuesday,0,1,2,10,7,18,3,2,43
3022,34.04607,-118.233093,Tuesday,0,0,42,19,31,31,26,6,155
3023,34.050911,-118.240967,Tuesday,0,1,21,12,14,24,26,6,104
3024,34.05772,-118.24897,Tuesday,0,0,3,14,10,51,9,3,90
3025,34.03286,-118.268082,Tuesday,1,0,0,9,5,5,8,1,29
3026,34.063179,-118.24588,Tuesday,4,2,32,22,17,21,14,9,121
3027,34.04998,-118.247162,Tuesday,0,0,46,54,44,72,17,8,241
3028,34.058319,-118.246094,Tuesday,1,1,7,5,6,22,16,8,66
3029,34.048851,-118.246422,Tuesday,2,0,30,33,20,20,28,8,141
3030,34.051941,-118.24353,Tuesday,3,4,49,108,126,478,51,9,828
3031,34.044701,-118.252441,Tuesday,8,12,78,67,75,73,86,39,438
3032,34.049889,-118.255882,Tuesday,1,2,8,28,78,70,54,7,248
3033,34.040989,-118.255798,Tuesday,13,0,26,11,13,42,19,21,145
3034,34.042061,-118.263382,Tuesday,0,0,38,34,31,32,27,6,168
3035,34.048401,-118.260948,Tuesday,2,0,16,51,49,44,93,45,300
3036,34.039188,-118.232529,Tuesday,0,0,12,4,7,33,15,1,72
3037,34.034801,-118.231277,Tuesday,6,0,4,5,11,19,20,11,76
3038,34.046822,-118.248352,Tuesday,3,5,42,21,28,32,38,36,205
3040,34.05357,-118.266357,Tuesday,3,1,28,29,17,13,15,17,123
3042,34.049301,-118.238808,Tuesday,8,12,136,59,19,27,24,7,292
3045,34.028511,-118.256668,Tuesday,0,0,0,4,2,3,0,0,9
3046,34.052872,-118.24749,Tuesday,3,0,9,10,22,11,12,2,69
3047,34.039982,-118.266403,Tuesday,2,0,29,15,18,28,42,8,142
3048,34.041691,-118.235352,Tuesday,3,0,7,11,22,33,27,4,107
3049,34.056969,-118.253593,Tuesday,1,0,29,22,37,35,40,15,179
3051,34.045422,-118.253517,Tuesday,3,1,14,9,25,16,29,14,111
3052,34.051102,-118.264557,Tuesday,3,4,6,19,12,14,37,13,108
3054,34.039219,-118.236488,Tuesday,0,0,6,1,6,13,21,6,53
3056,34.03746,-118.265381,Tuesday,0,0,6,7,13,10,14,4,54
3057,34.035679,-118.270813,Tuesday,1,0,2,9,10,1,8,7,38
3058,34.035801,-118.23317,Tuesday,0,0,3,6,4,9,16,7,45
3062,34.047749,-118.243172,Tuesday,7,0,16,12,22,19,9,8,93
3063,34.048038,-118.253738,Tuesday,6,0,13,22,41,48,66,16,212
3064,34.04681,-118.256981,Tuesday,2,0,9,29,48,40,66,33,227
3065,34.060558,-118.238327,Tuesday,0,12,12,3,8,10,6,2,53
3066,34.063389,-118.23616,Tuesday,5,5,55,10,5,7,12,0,99
3067,34.045181,-118.250237,Tuesday,2,0,68,32,23,31,39,21,216
3068,34.0532,-118.250954,Tuesday,7,0,6,18,35,45,46,11,168
3069,34.05088,-118.248253,Tuesday,0,1,22,27,45,27,46,18,186
3074,34.04417,-118.261169,Tuesday,13,1,18,40,36,49,77,26,260
3075,34.04211,-118.256187,Tuesday,7,0,24,15,35,16,30,10,137
3076,34.0406,-118.253838,Tuesday,2,0,8,25,36,39,24,0,134
3077,34.039871,-118.250038,Tuesday,0,2,4,11,12,13,14,2,58
3078,34.064281,-118.238937,Tuesday,0,0,6,8,8,22,16,11,71
3079,34.05014,-118.233192,Tuesday,0,0,6,1,3,16,5,0,31
3081,34.031891,-118.250183,Tuesday,0,0,0,6,6,20,2,1,35
3082,34.04652,-118.237411,Tuesday,1,0,40,20,32,21,42,14,170
4125,33.766659,-118.261017,Tuesday,0,0,0,0,0,1,0,0,1
4126,33.710979,-118.284668,Tuesday,0,0,6,10,20,22,24,1,83
4127,33.74892,-118.275192,Tuesday,0,0,3,0,0,2,2,0,7
4129,33.725819,-118.28051,Tuesday,0,0,6,6,3,12,18,0,45
4130,33.719261,-118.282722,Tuesday,0,0,1,1,4,8,18,0,32
4131,33.738979,-118.279266,Tuesday,0,0,2,2,4,6,5,4,23
4132,33.74913,-118.280182,Tuesday,0,0,0,0,0,6,5,1,12
4133,33.733521,-118.277786,Tuesday,0,0,0,2,4,6,3,0,15
4134,33.74136,-118.278069,Tuesday,0,0,0,2,0,3,2,1,8
4135,33.772301,-118.268044,Tuesday,0,0,2,10,8,3,13,1,37
4136,33.771759,-118.276543,Tuesday,0,0,0,0,1,3,0,1,5
4220,34.074829,-118.258728,Tuesday,0,1,58,24,17,18,17,6,141
4227,34.0298,-118.270309,Tuesday,2,1,8,12,12,34,43,4,116
4245,34.02404,-118.283409,Tuesday,0,0,0,7,9,14,15,6,51
4246,34.023708,-118.279167,Tuesday,0,0,4,1,10,10,24,8,57
4247,34.033642,-118.291313,Tuesday,1,1,5,1,4,6,9,5,32
4248,34.028351,-118.288673,Tuesday,0,0,5,13,2,14,13,5,52
4249,34.020302,-118.281181,Tuesday,0,0,7,10,17,41,45,14,134
4250,34.03017,-118.280952,Tuesday,1,1,17,7,7,10,9,4,56
4254,34.028679,-118.284111,Tuesday,3,0,6,2,4,5,7,4,31
4266,34.026291,-118.277687,Tuesday,3,0,14,10,14,25,30,12,108
4267,34.027618,-118.280678,Tuesday,0,0,0,0,1,2,1,2,6
4273,34.02586,-118.284103,Tuesday,1,0,1,19,14,18,36,8,97
4275,34.01252,-118.285896,Tuesday,0,0,1,2,8,7,4,6,28
4285,0,0,Tuesday,2,0,12,21,29,39,38,6,147
4286,0,0,Tuesday,0,0,3,14,32,34,29,3,115
4293,34.062279,-118.271523,Tuesday,3,0,14,6,2,8,1,1,35
4300,34.04887,-118.2743,Tuesday,0,0,10,14,10,4,14,4,56
4301,34.099049,-118.291496,Tuesday,0,0,4,2,5,5,5,0,21
4302,34.092491,-118.291443,Tuesday,0,0,2,3,4,10,5,1,25
4303,34.098011,-118.287071,Tuesday,0,0,0,2,4,8,5,0,19
4304,34.06258,-118.290092,Tuesday,2,0,4,7,18,20,24,14,89
4306,34.057652,-118.292183,Tuesday,0,1,5,16,7,2,4,2,37
4311,34.059689,-118.294662,Tuesday,0,0,4,6,8,8,15,9,50
4312,34.06699,-118.290878,Tuesday,5,0,1,3,10,6,7,7,39
4313,34.056808,-118.275002,Tuesday,0,0,7,4,4,6,13,4,38
4314,34.057709,-118.279762,Tuesday,1,6,11,9,5,17,13,1,63
4315,34.054031,-118.27092,Tuesday,5,2,14,12,11,13,15,17,89
4322,34.005871,-118.429161,Tuesday,0,0,0,2,1,3,7,0,13
4323,33.99958,-118.44136,Tuesday,0,0,4,9,2,0,1,0,16
4324,34.02655,-118.408463,Tuesday,0,0,12,4,2,2,1,0,21
4325,34.022518,-118.400589,Tuesday,1,0,1,4,4,7,0,1,18
4328,34.020061,-118.422684,Tuesday,0,0,1,2,1,2,1,1,8
4329,34.029121,-118.403168,Tuesday,0,0,0,3,2,7,9,3,24
4330,34.025688,-118.395302,Tuesday,0,0,9,0,2,2,3,3,19
4331,34.00351,-118.43438,Tuesday,0,0,6,5,2,2,3,0,18
4332,34.02948,-118.410469,Tuesday,1,0,0,0,1,5,2,1,10
4333,33.997231,-118.445969,Tuesday,0,2,0,1,6,0,0,1,10
4334,34.02018,-118.40403,Tuesday,0,0,8,3,2,2,1,1,17
4335,34.023392,-118.399223,Tuesday,0,0,1,1,4,6,4,2,18
4336,34.022449,-118.438332,Tuesday,0,0,1,1,2,3,1,1,9
4337,33.993019,-118.414909,Tuesday,0,0,0,3,1,0,2,0,6
4338,34.01376,-118.417801,Tuesday,0,0,2,15,0,3,1,0,21
4340,34.02338,-118.479637,Tuesday,0,0,1,5,5,6,5,1,23
4341,33.9953,-118.464844,Tuesday,0,0,0,3,6,6,2,0,17
4342,33.991161,-118.468292,Tuesday,0,0,0,6,16,13,13,4,52
4343,33.998322,-118.460983,Tuesday,0,0,2,9,4,7,15,0,37
4344,34.014309,-118.491341,Tuesday,1,0,18,16,45,47,45,5,177
4345,33.99556,-118.481552,Tuesday,0,0,7,74,100,105,73,15,374
4346,33.984341,-118.47155,Tuesday,1,0,5,60,79,91,51,11,298
4347,33.984928,-118.469963,Tuesday,0,0,3,17,21,21,4,4,70
4348,34.000881,-118.46891,Tuesday,0,0,2,0,10,8,6,2,28
4349,33.996239,-118.477448,Tuesday,0,0,2,1,24,26,19,2,74
4350,33.9986,-118.472977,Tuesday,0,0,2,2,5,2,5,0,16
4351,33.993729,-118.45356,Tuesday,0,10,4,0,4,5,1,1,25
4352,33.988419,-118.45163,Tuesday,0,0,0,3,11,7,6,2,29
4353,33.988129,-118.471741,Tuesday,1,0,2,6,9,13,20,0,51
4354,34.017681,-118.409081,Tuesday,0,0,1,3,3,3,6,2,18
4372,34.027882,-118.388901,Tuesday,0,0,1,0,1,11,0,0,13
4378,34.022331,-118.415771,Tuesday,1,0,12,0,0,1,1,0,15
4379,34.017368,-118.420601,Tuesday,0,0,0,1,0,0,2,0,3
4380,33.982922,-118.410927,Tuesday,0,0,0,0,3,2,5,0,10
4381,34.000332,-118.402321,Tuesday,0,0,1,2,3,0,1,0,7
4382,34.030472,-118.420982,Tuesday,0,1,1,0,3,1,3,0,9
4383,34.009022,-118.425011,Tuesday,0,0,5,16,5,1,2,0,29
4384,33.990318,-118.412048,Tuesday,0,0,0,0,4,0,1,0,5
4385,34.036678,-118.425339,Tuesday,0,0,1,6,1,4,4,1,17
4387,34.03352,-118.241837,Tuesday,0,0,2,2,15,13,16,1,49
4389,34.035351,-118.434143,Tuesday,1,0,0,2,3,6,7,2,21
4390,34.069271,-118.296593,Tuesday,3,1,13,11,10,6,12,6,62
4393,34.026829,-118.393517,Tuesday,1,0,0,8,1,5,5,0,20
4394,33.980789,-118.414902,Tuesday,0,0,0,1,9,1,3,0,14
4396,34.02697,-118.428207,Tuesday,0,0,0,4,2,0,0,2,8
4397,34.01688,-118.428452,Tuesday,0,0,0,3,13,0,4,1,21
4400,34.027828,-118.247139,Tuesday,0,0,5,1,3,14,7,6,36
4401,34.075611,-118.291862,Tuesday,2,6,7,10,5,9,6,7,52
4404,34.04813,-118.271027,Tuesday,0,1,6,7,4,13,11,5,47
4405,34.051899,-118.293678,Tuesday,0,0,7,7,2,5,5,4,30
4406,34.101891,-118.300613,Tuesday,0,0,3,5,2,3,0,1,14
4408,34.011799,-118.419533,Tuesday,1,0,3,5,7,2,1,0,19
4409,33.986511,-118.441917,Tuesday,0,0,0,0,6,6,5,1,18
4410,34.063351,-118.296799,Tuesday,10,2,3,8,19,20,20,21,103
4413,34.158321,-118.370811,Tuesday,0,1,4,5,0,1,1,0,12
4414,34.16835,-118.387497,Tuesday,0,0,0,7,9,5,0,0,21
4415,34.168331,-118.396156,Tuesday,1,0,0,7,0,5,0,1,14
4416,34.157581,-118.38826,Tuesday,0,0,1,5,1,1,2,0,10
4417,34.164951,-118.363632,Tuesday,0,1,0,2,1,1,2,0,7
4418,34.150688,-118.366127,Tuesday,0,0,1,5,0,0,0,0,6
4419,34.165218,-118.355148,Tuesday,0,0,0,1,0,0,2,0,3
4420,34.168629,-118.377068,Tuesday,6,0,9,5,5,10,33,13,81
4422,34.152142,-118.361954,Tuesday,1,0,0,0,1,0,0,0,2
4425,34.152,-118.350601,Tuesday,0,0,1,0,3,0,2,1,7
4426,34.149872,-118.378891,Tuesday,0,0,3,8,1,2,0,0,14
4427,34.162891,-118.370163,Tuesday,0,0,0,4,1,0,3,1,9
4428,34.161709,-118.372818,Tuesday,0,0,4,0,2,1,4,1,12
4429,34.168751,-118.36187,Tuesday,0,0,2,2,6,4,1,1,16
4430,34.172451,-118.370369,Tuesday,1,0,3,3,0,1,0,0,8
4431,34.177662,-118.382278,Tuesday,0,0,2,8,1,2,0,1,14
4432,34.139568,-118.362251,Tuesday,0,0,0,0,0,2,1,1,4
4436,34.105782,-118.291939,Tuesday,0,0,1,2,0,0,0,0,3
4437,34.105358,-118.28727,Tuesday,0,0,3,2,0,1,0,0,6
4438,34.094929,-118.284561,Tuesday,0,0,1,0,0,1,0,0,2
4440,34.061661,-118.298241,Tuesday,0,0,0,0,2,0,0,0,2
4441,34.026619,-118.281807,Tuesday,0,0,0,0,0,1,1,0,2
4442,34.098,-118.300468,Tuesday,0,0,1,0,0,0,0,0,1
4443,34.02166,-118.278687,Tuesday,0,0,4,1,0,1,4,1,11
4444,34.061619,-118.305573,Tuesday,0,0,0,1,1,1,1,0,4
4445,34.073639,-118.251572,Tuesday,0,0,1,0,0,0,0,0,1
